Reference area,MEASURE,Measure,Age,Sex,Unit of measure,TIME_PERIOD,OBS_VALUE
Germany,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1634
Germany,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1625
Germany,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1613
Germany,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1524
Germany,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1523
Germany,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1507
Germany,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1503
Germany,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,1556
Germany,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1543
Ireland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,14.1
Ireland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,12
Ireland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,14
Ireland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,13
Ireland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,13
Ireland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,13.5
Ireland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,13
Switzerland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1796
Switzerland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1701
Switzerland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1681
Switzerland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1570
Switzerland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1470
Switzerland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1406
Switzerland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1352
Switzerland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1331
Switzerland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1271
Switzerland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1228
Switzerland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,1268
Switzerland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1236
Japan,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,16.3
Japan,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,16.6
Japan,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,15.5
Japan,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,15.5
Japan,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,14.9
Japan,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,15.5
Luxembourg,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,15.2
Luxembourg,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,13.4
France,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1261.3
France,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1246.7
France,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1198.8
France,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1120.1
France,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1028
France,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1022
France,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,994
France,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,905
France,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,841
France,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,830
France,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,776
Japan,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1902
Japan,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1872
Japan,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1758
Japan,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1776
Japan,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1793
Japan,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1655
Japan,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1517
Japan,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1310
Japan,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1171
Japan,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1065
Japan,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,892
Japan,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,845
Australia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,15.9
Australia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,13.7
Australia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,13.4
Australia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,12.9
United States,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1400
United States,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1374
United States,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1342
United States,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1277
United States,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1216
United States,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1222
United States,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1167
United States,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1115
United States,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1061
United States,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1004
United States,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,1004
United States,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,967
Hungary,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1641
Hungary,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1755
Hungary,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1754
Hungary,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1636
Hungary,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1520
Hungary,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1637
Hungary,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1521
Hungary,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1404
Hungary,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1521
Hungary,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1521
Hungary,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,1521
Hungary,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1521
Croatia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,16.4
Croatia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,17.4
Korea,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,15.1
Korea,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,15
Korea,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,14.5
Korea,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,14.6
Korea,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,14.7
Korea,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,13.6
Korea,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,14.6
Korea,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,14.9
Korea,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,13.2
Korea,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,12.6
Korea,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,12.5
Korea,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,13
Iceland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1278
Iceland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1230
Iceland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1189
Iceland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1051.2
Iceland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1059.1
Iceland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1040.3
Iceland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,980.8
Iceland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,859.7
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1225.7
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1240.6
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1157.6
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1016.2
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,967.1
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1026.9
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,866.1
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1077
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,539.4
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,804.4
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,741.7
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,781.8
Ireland,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2022,631.1
Latvia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,13
Latvia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,13.4
Latvia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13.6
Latvia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,13.5
Latvia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,11.7
Latvia,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,11.5
