ReferenceArea,UnitOfMeasure,Age,Sex,CANCER_SITE,CancerSite,TIME_PERIOD,OBS_VALUE
Brazil,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,205.5
Greece,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2000,47.6
Greece,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,51.6
Greece,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,44.9
Greece,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,43.9
Portugal,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2000,231.6
Portugal,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,237.9
Portugal,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,223.2
Portugal,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,246.2
New Zealand,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,91.9
New Zealand,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,89.4
New Zealand,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,85
Lithuania,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,23.4
Switzerland,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,11.6
Switzerland,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,13.8
Switzerland,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,17
Switzerland,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,20.7
Netherlands,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,41.6
Netherlands,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,40.9
Netherlands,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,43.3
Netherlands,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,47.5
United Kingdom,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,47.6
United Kingdom,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,48.1
United Kingdom,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,41.6
United Kingdom,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,34.9
Czechia,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,330.9
Czechia,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,343.6
Czechia,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,345.9
Hungary,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,318.8
Hungary,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,286.6
Hungary,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,285.4
Brazil,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,16.9
Japan,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,8
Japan,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,9.8
Japan,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,10.9
Germany,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,32
Germany,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,33.1
Germany,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,27.3
Germany,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,23.3
Latvia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,246.8
United States,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,49
United States,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,42.1
United States,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,38.4
Netherlands,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2000,276.5
Netherlands,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,283
Netherlands,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,289.9
Netherlands,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,304.8
Sweden,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2000,256.1
Sweden,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,264.7
Sweden,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,259.7
Sweden,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,270
United Kingdom,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2000,260.3
United Kingdom,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,286.6
United Kingdom,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,298.4
United Kingdom,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,284
Canada,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,78.2
Canada,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,101.5
Canada,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,88.9
Germany,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2000,312.3
Germany,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,317.7
Germany,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,330.7
Germany,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,323.7
Lithuania,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,60.9
Australia,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,47.4
Australia,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,46
Australia,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,45.5
Italy,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,29.6
Italy,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,33
Italy,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,36.5
Italy,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,33.9
Belgium,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2000,9.1
Belgium,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,9.4
Belgium,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,9.4
Belgium,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,8.6
Russia,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,245.8
Switzerland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2000,211.3
Switzerland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,240.1
Switzerland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,236
Switzerland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,245.9
Ireland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,39.5
Ireland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,39.8
Ireland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,37.9
Ireland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,36.1
Portugal,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,19.7
Portugal,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,20.1
Portugal,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,16.4
Portugal,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,20.2
Indonesia,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,8.1
Canada,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,36.4
Canada,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,38.1
Canada,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,35.2
China,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,11.6
France,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,53.5
France,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,52.6
France,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,47.7
France,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,52
Türkiye,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,47.7
Türkiye,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,49.1
Türkiye,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,63.9
Korea,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,24.7
Korea,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,46.9
Korea,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,58.7
Chile,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,14
Chile,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,13.3
Estonia,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,203.5
Estonia,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,202.7
Costa Rica,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,11.4
Czechia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,289.3
Czechia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,288.5
Czechia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,293.8
Colombia,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,175.2
France,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,30.5
France,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,30.7
France,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,30
France,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,35
Colombia,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,12.5
Russia,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,24.5
Colombia,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,35.7
Slovenia,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,25
Slovenia,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,27
France,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,7.4
France,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,8.8
France,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,14.7
France,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,20.2
Finland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,23.2
Finland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,23.3
Finland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,23.2
Finland,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,23.5
United Kingdom,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2000,40.2
United Kingdom,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,52.2
United Kingdom,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,79.7
United Kingdom,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,73.2
Portugal,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2000,14.6
Portugal,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,13.5
Portugal,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,12.2
Portugal,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,9
Slovak Republic,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,206.9
Slovak Republic,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,223.4
Slovak Republic,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,238
Australia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,312
Australia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,314.1
Australia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,323
Estonia,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,30.5
Estonia,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,24.4
Luxembourg,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2000,233.2
Luxembourg,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,254.2
Luxembourg,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,254.4
Luxembourg,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,259.6
Lithuania,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,48.7
India,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,5.1
Russia,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,30.1
Canada,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,30.6
Canada,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,31.8
Canada,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,28.5
Indonesia,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,16.3
Australia,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,276.8
Australia,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,274.4
Australia,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,278.6
Portugal,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,32.4
Portugal,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,28.6
Portugal,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,31.4
Portugal,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,31.7
Austria,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,43.2
Austria,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,42.1
Austria,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,36.7
Austria,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,34
United Kingdom,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,30.3
United Kingdom,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,32.9
United Kingdom,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,29.3
United Kingdom,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,30.2
Norway,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,18.7
Norway,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,24.7
Norway,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,26.1
Greece,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,8.3
Greece,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,8.7
Greece,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,8.5
Greece,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,9
Lithuania,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,26.1
United Kingdom,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,35.4
United Kingdom,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,39.2
United Kingdom,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,36.2
United Kingdom,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,36.8
Costa Rica,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,45.4
Ireland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2000,237.1
Ireland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,234.9
Ireland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,285.1
Ireland,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,278.9
China,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,5.3
Hungary,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,386.8
Hungary,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,358.4
Hungary,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,356.1
Portugal,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2000,36.7
Portugal,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2002,46.8
Portugal,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2008,50.1
Portugal,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,63.6
Italy,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,9
Italy,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,10.7
Italy,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,11.4
Italy,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,13.2
India,Cases per 100 000 persons,Total,Male,CICDMNPR,Malignant neoplasms of prostate,2012,4.2
India,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,6.1
Slovenia,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,315.5
Slovenia,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,358.2
Korea,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,12.8
Korea,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,13.8
Korea,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,16.2
Colombia,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,160.6
Russia,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,15.3
Lithuania,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,18.9
Sweden,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,21.4
Sweden,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,21.1
Sweden,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,19.4
Sweden,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,19.4
Russia,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,30
Italy,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,34.2
Italy,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,34.4
Italy,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,26.7
Italy,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,24.5
Russia,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,6.8
Lithuania,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,311.8
Australia,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,39.5
Australia,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,32.9
Australia,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,33.3
Japan,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,37.9
Japan,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,31.5
Japan,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,32.2
Netherlands,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2000,253.4
Netherlands,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2002,251.4
Netherlands,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2008,271.3
Netherlands,Cases per 100 000 persons,Total,Female,CICDTUME,Malignant neoplasms,2012,289.6
Norway,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,27.6
Norway,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,30.1
Norway,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,30
Switzerland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,31.7
Switzerland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,42.7
Switzerland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,31
Switzerland,Cases per 100 000 persons,Total,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,36.3
Chile,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,9.2
Chile,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,10.2
Germany,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2000,11.5
Germany,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,10.8
Germany,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,6.9
Germany,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,8.2
United Kingdom,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2000,21.8
United Kingdom,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,24.9
United Kingdom,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,23.7
United Kingdom,Cases per 100 000 persons,Total,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,25.8
Greece,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2000,6.9
Greece,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,7.7
Greece,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,3.8
Greece,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,5.2
United Kingdom,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2000,9.3
United Kingdom,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2002,8.3
United Kingdom,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,7.2
